codepoint,name
E0FC,LATIN CAPITAL LETTER G WITH TURNED COMMA ABOVE
E0FD,LATIN CAPITAL LETTER G WITH GREEK PSILI AND OXIA
E0FE,LATIN CAPITAL LETTER G WITH REVERSED COMMA ABOVE
E0FF,LATIN CAPITAL LETTER G WITH COMMA ABOVE RIGHT
E100,LATIN CAPITAL LETTER G WITH PALATALIZED HOOK BELOW
E101,LATIN CAPITAL LETTER G WITH DOT BELOW
E102,LATIN CAPITAL LETTER G WITH RING BELOW
E103,LATIN CAPITAL LETTER G WITH COMMA BELOW
E104,LATIN CAPITAL LETTER G WITH INVERTED DOUBLE ARCH BELOW
E105,LATIN CAPITAL LETTER G WITH BREVE BELOW
E106,LATIN CAPITAL LETTER G WITH MACRON BELOW
E107,LATIN CAPITAL LETTER G WITH LONG STROKE OVERLAY
E108,LATIN CAPITAL LETTER G WITH LONG SOLIDUS OVERLAY
E109,LATIN CAPITAL LETTER G WITH SUPERSCRIPT ONE
E10A,LATIN CAPITAL LETTER G WITH SUPERSCRIPT TWO
E10B,LATIN CAPITAL LETTER G WITH MODIFIER LETTER SMALL U SUPERSCRIPT WITH INVERTED BREVE BELOW
E10C,LATIN CAPITAL LETTER G WITH RING ABOVE RIGHT
E10D,LATIN CAPITAL LETTER G WITH INVERTED OGONEK
E10E,LATIN CAPITAL LETTER G WITH THREE DOT ABOVE
E10F,LATIN CAPITAL LETTER GH WITH LOW LINE
E110,LATIN CAPITAL LETTER GJ WITH LOW LINE
E111,LATIN CAPITAL LETTER G WITH SMALL LETTER H AND LOW LINE
E112,LATIN CAPITAL LETTER G WITH SMALL LETTER J AND LOW LINE
E115,LATIN CAPITAL LETTER H WITH GRAVE
E116,LATIN CAPITAL LETTER H WITH ACUTE
E117,LATIN CAPITAL LETTER H WITH CARON
E118,LATIN CAPITAL LETTER H WITH COMMA ABOVE RIGHT
E119,LATIN CAPITAL LETTER H WITH RETROFLEX HOOK BELOW
E11A,LATIN CAPITAL LETTER H WITH RING BELOW
E11B,LATIN CAPITAL LETTER H WITH OGONEK
E11C,LATIN CAPITAL LETTER H WITH CARON BELOW
E11D,LATIN CAPITAL LETTER H WITH CIRCUMFLEX BELOW
E11E,LATIN CAPITAL LETTER H WITH BREVE BELOW AND MODIFIER LETTER SMALL V
E11F,LATIN CAPITAL LETTER H WITH INVERTED BREVE BELOW
E120,LATIN CAPITAL LETTER H WITH MACRON BELOW
E121,LATIN CAPITAL LETTER H WITH ACUTE ABOVE RIGHT
E122,LATIN CAPITAL LETTER H WITH COLON BELOW
E123,LATIN CAPITAL LETTER H WITH ACUTE CENTRED
E124,LATIN CAPITAL LETTER HV WITH LOW LINE
E125,LATIN CAPITAL LETTER H WITH SMALL LETTER V AND LOW LINE
E126,LATIN CAPITAL LETTER H WITH STROKE AND RING BELOW
E12B,LATIN CAPITAL LETTER I WITH STROKE AND MACRON
E12C,LATIN CAPITAL LETTER I WITH STROKE AND INVERTED BREVE BELOW
E12D,LATIN CAPITAL LETTER I WITH GRAVE AND OGONEK
E12E,LATIN CAPITAL LETTER I WITH ACUTE AND RING BELOW
E12F,LATIN CAPITAL LETTER I WITH ACUTE AND OGONEK
E130,LATIN CAPITAL LETTER I WITH ACUTE AND INVERTED BREVE BELOW
E131,LATIN CAPITAL LETTER I WITH CIRCUMFLEX AND ACUTE
E132,LATIN CAPITAL LETTER I WITH TILDE AND OGONEK
E133,LATIN CAPITAL LETTER I WITH TILDE AND INVERTED BREVE BELOW
E134,LATIN CAPITAL LETTER I WITH MACRON AND GRAVE
E135,LATIN CAPITAL LETTER I WITH MACRON AND ACUTE
E136,LATIN CAPITAL LETTER I WITH MACRON AND TILDE
E137,LATIN CAPITAL LETTER I WITH MACRON AND BREVE
E138,LATIN CAPITAL LETTER I WITH MACRON AND BREVE AND ACUTE
E139,LATIN CAPITAL LETTER I WITH MACRON AND BREVE AND OGONEK
E13A,LATIN CAPITAL LETTER I WITH MACRON AND DOT BELOW
E13B,LATIN CAPITAL LETTER I WITH MACRON AND OGONEK
E13C,LATIN CAPITAL LETTER I WITH MACRON AND CIRCUMFLEX BELOW
E13D,LATIN CAPITAL LETTER I WITH MACRON AND LEFT ARROWHEAD
E13E,LATIN CAPITAL LETTER I WITH BREVE AND GRAVE
E13F,LATIN CAPITAL LETTER I WITH BREVE AND ACUTE
E140,LATIN CAPITAL LETTER I WITH DIAERESIS AND GRAVE
E141,LATIN CAPITAL LETTER I WITH DIAERESIS AND INVERTED BREVE
E142,LATIN CAPITAL LETTER I WITH RING ABOVE
E143,LATIN CAPITAL LETTER I WITH DOUBLE ACUTE
