codepoint,entity,name,versions
EBE4,OOliguml,LATIN CAPITAL LIGATURE OO WITH DIAERESIS,MUFI: 3.0
EBE5,ooliguml,LATIN SMALL LIGATURE OO WITH DIAERESIS,MUFI: 3.0
EBE6,PPliguml,LATIN CAPITAL LIGATURE PP WITH DIAERESIS,MUFI: 3.0
EBE7,ppliguml,LATIN SMALL LIGATURE PP WITH DIAERESIS,MUFI: 3.0
EBE8,YYliguml,LATIN CAPITAL LIGATURE YY WITH DIAERESIS,MUFI: 3.0
EBE9,yyliguml,LATIN SMALL LIGATURE YY WITH DIAERESIS,MUFI: 3.0
EBEA,AEligcurl,LATIN CAPITAL LETTER AE WITH CURL,MUFI: 3.0
EBEB,aeligcurl,LATIN SMALL LETTER AE WITH CURL,MUFI: 3.0
EBEC,Oslashmacracute,LATIN CAPITAL LETTER O WITH STROKE AND MACRON AND ACUTE,MUFI: 3.0
EBED,oslashmacracute,LATIN SMALL LETTER O WITH STROKE AND MACRON AND ACUTE,MUFI: 3.0
EBEE,Oslashbreve,LATIN CAPITAL LETTER O WITH STROKE AND BREVE,MUFI: 3.0
EBEF,oslashbreve,LATIN SMALL LETTER O WITH STROKE AND BREVE,MUFI: 3.0
EBF0,AVligogon,LATIN CAPITAL LIGATURE AV WITH OGONEK,MUFI: 3.0
EBF1,avligogon,LATIN SMALL LIGATURE AV WITH OGONEK,MUFI: 3.0
EBF2,Eogoncurl,LATIN CAPITAL LETTER E WITH OGONEK AND CURL,MUFI: 3.0
EBF3,eogoncurl,LATIN SMALL LETTER E WITH OGONEK AND CURL,MUFI: 3.0
EBF4,Adotacute,LATIN CAPITAL LETTER A WITH DOT ABOVE AND ACUTE,MUFI: 3.0
EBF5,adotacute,LATIN SMALL LETTER A WITH DOT ABOVE AND ACUTE,MUFI: 3.0
EBF6,Idotacute,LATIN CAPITAL LETTER I WITH DOT ABOVE AND ACUTE,MUFI: 3.0
EBF7,idotacute,LATIN SMALL LETTER I WITH DOT ABOVE AND ACUTE,MUFI: 3.0
EBF8,Odotacute,LATIN CAPITAL LETTER O WITH DOT ABOVE AND ACUTE,MUFI: 3.0
EBF9,odotacute,LATIN SMALL LETTER O WITH DOT ABOVE AND ACUTE,MUFI: 3.0
EBFA,Oogondotacute,LATIN CAPITAL LETTER O WITH OGONEK AND DOT ABOVE AND ACUTE,MUFI: 3.0
EBFB,oogondotacute,LATIN SMALL LETTER O WITH OGONEK AND DOT ABOVE AND ACUTE,MUFI: 3.0
EBFC,Oslashdotacute,LATIN CAPITAL LETTER O WITH STROKE AND DOT ABOVE AND ACUTE,MUFI: 3.0
EBFD,oslashdotacute,LATIN SMALL LETTER O WITH STROKE AND DOT ABOVE AND ACUTE,MUFI: 3.0
EBFE,Udotacute,LATIN CAPITAL LETTER U WITH DOT ABOVE AND ACUTE,MUFI: 3.0
EBFF,udotacute,LATIN SMALL LETTER U WITH DOT ABOVE AND ACUTE,MUFI: 3.0
EEC2,bblig,LATIN SMALL LIGATURE BB,MUFI: 3.0
EEC3,bglig,LATIN SMALL LIGATURE BG,MUFI: 3.0
EEC4,cklig,LATIN SMALL LIGATURE CK,MUFI: 3.0
EEC5,ctlig,LATIN SMALL LIGATURE CT,MUFI: 3.0
EEC6,drotdrotlig,LATIN SMALL LIGATURE DD ROTUNDA,MUFI: 3.0
EEC7,eylig,LATIN SMALL LIGATURE EY,MUFI: 3.0
EEC8,faumllig,LATIN SMALL LIGATURE F A WITH DIAERESIS,MUFI: 3.0
EEC9,fjlig,LATIN SMALL LIGATURE FJ,MUFI: 3.0
EECA,frlig,LATIN SMALL LIGATURE FR,MUFI: 3.0
EECB,ftlig,LATIN SMALL LIGATURE FT,MUFI: 3.0
EECC,fuumllig,LATIN SMALL LIGATURE F U WITH DIAERESIS,MUFI: 3.0
EECD,fylig,LATIN SMALL LIGATURE FY,MUFI: 3.0
EECE,fftlig,LATIN SMALL LIGATURE FFT,MUFI: 3.0
EECF,ffylig,LATIN SMALL LIGATURE FFY,MUFI: 3.0
EED0,ftylig,LATIN SMALL LIGATURE FTY,MUFI: 3.0
